year,n_wealth,t_income,l_income
1950,0.8257332034366366,0.44248654139458743,0.534294819877344
1953,0.805948758659935,0.4264544060935942,0.5158978980963682
1956,0.8121790488050612,0.44426942873399367,0.5349293526208106
1959,0.7952068741637912,0.43749348077061534,0.5213985948309414
1962,0.8086945076579386,0.44358431038536356,0.5345127915054446
1965,0.7904149225687949,0.4376371546666344,0.7487860020887701
1968,0.7982885066993503,0.4208620794438885,0.5242396427381534
1971,0.7911574835420282,0.4233344246090255,0.5576454812313462
1977,0.7571418922185215,0.46187678800902554,0.57044481100722
1983,0.749433540064301,0.4393456184644682,0.5662220844385925
1989,0.7715705301674285,0.5115249581654115,0.6013995687471289
1992,0.7508126614055305,0.4740650672076754,0.5983592657979544
1995,0.7569492388110274,0.4896552355840001,0.5969779516717039
1998,0.7603291991801172,0.49117441585168525,0.5774462841723346
2001,0.781611875050703,0.523909299468113,0.6042739644967232
2004,0.7700355469522372,0.48843503839032354,0.5981432201792916
2007,0.782141377648698,0.5197156312086207,0.6263452195753227
2010,0.825082529519342,0.5195972120145641,0.6453653328291843
2013,0.8227698931835299,0.5314001749843426,0.6498682917772886
2016,0.8342975903562537,0.55414000689009,0.6706846793375292
